word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
پارێزگاردانیشێت	پارێزگار دابنیشێت	پارێزگاردا نیشێت,پارێزگار دانیشێت	0	0	0
پرانسیبی	پرەنسیپی	پرانسیشی,پرانسی بی,پرانس یبی,پرانسی,پرسیبی	0	0	0
پێدەوت	پێ دەگوت	detected_correct	0	0	0
جێبەجیبکەین	جێبەجێ بکەین	جێبەجێکردنین	0	0	0
دابەشمانکردون	دابەشمان کردوون	دابەشودابڕکردن	0	0	0
دروستکرابو	دروست کرابوو	دروستکردن	0	0	0
دوریەوە	دوورییەوە	درویەوە,دویەوە,دورەوە,دووریەوە,یدورەوە,دریوەوە,خوریەوە,دوایەوە,دێریەوە,دوێیەوە,دوییەوە,دورەیدەوە	0	0	0
دوڕۆژی	دوو ڕۆژی	دو ڕۆژی,ڕۆژی	0	0	0
دیارنامێنێ	دیار نامێنێت	بڕیارنانێ	0	0	0
ڕوناکیەی	ڕووناکییەی	ڕووناکیی,ڕووناکی	0	0	0
ژەنرال	ژەنەراڵ	ژەنرا,ژەنران,ژەنرام,ژەنرای,ژەندرا	0	0	0
عەڕەشەوە	عەرشەوە	عەڕەبەوە,هەڕەشەوە,نەڕەشەوە,عەمەشەوە,زەڕەشەوە,وەڕەشەوە,هەڕەشەشەوە,قوڕەڕەشەوە,عەڕعەڕەوە,ڕەشەمەشەوە	0	0	0
قامیسلۆ	قامشلۆ	قامیشلۆ,قامیشلە	0	0	0
کۆبونەوەی‌دا	کۆبوونەوەیدا	کۆبوونەوەدا,کۆکبوونەوەدا	0	0	0
لەجنێوو	لە جنێو و	جنێووو	0	0	0
لەسەربکرێ	لەسەر بکرێت	لەسەر بکرێ,لە سەربکرێ,لەسەرخۆێ	0	0	0
لەئۆپەراسیونەکەدا	لە ئۆپەراسیۆنەکەدا		0	0	0
ملیدانەی	موەلیدانەی	ملیدا نەی,ملی دانەی,ململانەی,مەیدان	0	0	0
میسڕیەی	میسرییەی	میس ڕیەی,سەلەمیەی	0	0	0
وابریاریشە	وا بڕیاریشە	شەهریاری	0	0	0
وونبونیشی	ونبوونیشی	ونبوونیشی,وون بونیشی,شینبوونیشی,هینبوونیشی,پەنبوونیشی,وسبوونیشی	1	1	1
یەکشەم	یەکشەممە	یەکەم,یەکشەقم,یەکشەمە,یەکشەق,یەکهەم,یەک شەم,یەکشەممە	0	0	0
ئاشکربوو	ئاشکرا بوو	ئاشکراوو,ئاشکرابوون,ئاشووبوو	0	0	0
ئاڵوەدە	ئالوودە	ئاڵوباڵووە	0	0	0
ئەشڵێ	دەشڵێت	ئەڵێ,ئەشێ,ئەتڵێ,ئەشقێ,ئەمڵێ,ئەشکێ,ئەیڵێ,ئەش ڵێ,ئەشڵەژێن	0	0	0
تەنها	تەنیا	detected_correct	0	0	0
بەڕێوبەرایەتی	بەڕێوەبەرایەتی	بەڕێوەبەرایەتی,بەڕێوەبەریەتی,بەڕێوەبردنایەتی,بەرزەڕێواسایەتی,ئابڕووبەرایەتی	1	1	1
مادەی	ماددەی	detected_correct	0	0	0
دوێنی	دوێنێ	detected_correct	0	0	0
قائیمقامی	قایمقامی	مقامزانی	0	0	0
چاوەڕواندەکرێت	چاوەڕوان دەکرێت	چاوەڕوان دەکرێت,چاوەڕوانکردنت,چاوەڕوانکردن	1	1	1
جێبەجێبکرێت	جێبەجێ بکرێت	جێبەجێ بکرێت,جێبەجێکردنت	1	1	1
سندوقەکانی	سندووقەکانی	سندووقەکانی,خاندووقەکانی,سندووقانی	1	1	1
ئۆتۆمبیل	ئۆتۆمبێل	ئۆتۆمۆبیل,ئۆتۆم بیل,ئۆتۆنۆمی	0	0	0
قۆناغەدا	قۆناخەدا	قۆناغدا,قۆناغتدا,قۆناغمدا,قۆناغێدا,قۆناغیدا,قۆناغە دا,بناغەدا	0	0	0
ئەستەنبوڵ	ئیستەنبوڵ	ئەلڕەستەن	0	0	0
گەیشتونەتە	گەیشتوونەتە	نەگەیشتووە,نەگەیشتوو,گەیشتنە	0	0	0
زانیاریە	زانیارییە	زانیایە,زانیارە,زانیاری,زانیاریڵە,زانیاریەڵ,زانیاریچە,زانیاریلە,زانیارینە,زانیاریەک,زانیاریت,زانیارچە,زانیارلە,زانیارین,زانیاریم,زانیاریک	0	0	0
هاتونەتە	هاتوونەتە	هاتنەوە	0	0	0
پێکبهێنن	پێک بهێنن	detected_correct	0	0	0
ڕێکخست	ڕێک خست	ڕێخست,ڕێکخستن,پێکخست,تێکخست,لێکخست,وێکخست,ڕێک خست	0	0	0
خوێندنگا	خوێندنگە	detected_correct	0	0	0
کەمەو	کەمە و	مەکەو,کەموو,کەمە,کەمەوە,کمەوە,کەمەر,کەمەڵ,کەمەک,کەمە و,کەوکەو,مەمکە,کەو	0	0	1
بخاتەڕوو	بخاتە ڕوو	خاتەمیوو	0	0	0
سە	سەر	detected_correct	0	0	0
دوابڕیار	دوا بڕیار	دوا بڕیار,دوابڕاوار	1	1	1
ئەژماری	هەژماری	ئەژماردی,ئەژمارد,ئەژمێری,ژماریاری,ژماریار,ژماری	0	0	0
دنیای	دونیای	detected_correct	0	0	0
لەئەندامانی	لە ئەندامانی	لە ئەندامانی,گوڵئەندامانی	1	1	1
برە	بڕە	بەر,بە,برژە,بمرە,برمە,بکرە,برکە,بگرە,زبرە,بزرە,بارە,بۆرە,برۆە,بێرە,بەرە	0	0	0
بنەبڕکردنی	بنبڕکردنی	بنەبڕ کردنی,بنە بڕکردنی,چلەبڕکردنی,دابڕکردنی,بڕکردنی	0	0	0
گەیشتووەو	گەیشتووە و	گەیشتووە,گەیشتووەوە,گەیشتووە و,نەگەیشتوو,پێگەیشتوو	0	1	1
موسوڵمانان	موسڵمانان	موسڵمانان,موسڵمانن,موسڵمان	1	1	1
دێتەدەنگ	دێتە دەنگ	تەنگدەستگ	0	0	0
فەیسبوکی	فەیسبووکی	فەیسەڵیی	0	0	0
داواکاریەکەی	داواکارییەکەی	داواکارەکەی,داواکردنەکەی,هەوادارییەکەی,میواندارییەکەی,داریووشییەکەی	0	0	0
هندی	هیندی	هۆندی,هێندی,فندی,جندی,هادی,هێدی	0	0	0
هەمویان	هەموویان	هومەیان,هەمەیان,هەویان,هەموویان,هەموویییان,هەموتەمیان,هەمسونیان,هەمانیان	0	0	1
ناڕەزایەتیەکان	ناڕەزایەتییەکان	ناڕەزاییەتییەکان,ڕەگەزایەتییەکان,ناڕەزاییەتین,ناڕەزاییەتی	0	0	0
تێکداوە	تێک داوە	detected_correct	0	0	0
داندراوە	دانراوە	ساندراوە,دادراوە,داڕندراوە,دانێدراوە,دانەدراوە,دانێراوە,دان دراوە,دائاراندراوە,ئاراندراوە,دانەوێندراوە,دارمەندراوە	0	0	0
هاتوچۆکردن	هاتووچۆکردن	detected_correct	0	0	0
تایبەتمەندیەکی	تایبەتمەندییەکی	تایبەتمەندیەک,تایبەتمەندییەکی,تایبەتمەندییەک,تایبەتمەندیەک ی,تایبەتمەندیی,تایبەتمەندی	0	1	1
فرۆکەکانی	فڕۆکەکانی	برۆکەکانی,فرتکەکانی,پەنیرۆکەکانی,فرۆشرانەکانی	0	0	0
ئەنجومەنەکەیان	ئەنجوومەنەکەیان	detected_correct	0	0	0
ڕاکێشە	ڕابکێشە	detected_correct	0	0	0
بدۆزنەوەو	بدۆزنەوە و	بدۆزنەوە,بدۆزنەوە و,دۆزینەوە	0	1	1
یاساییەکەی	یاسایییەکەی	پاساییەکەی,یاسا ییەکەی,لاسایییەکەی,ئاسایییەکەی,ڕاسایییەکەی,شناسایییەکەی	0	0	0
ببورن	ببوورن	ببوێرن,ببوورن,بخورن,ببارن,بوورن,بیورن,ببوور	0	1	1
بەهێزەو	بەهێزە و	بەزەونج	0	0	0
تۆڕەکۆمەڵایەتییەکان	تۆڕە کۆمەڵایەتییەکان	تۆڕە کۆمەڵایەتییەکان,ڕۆژەڵاتیناوراستەکان	1	1	1
ڕاوێژکارو	ڕاوێژکار و	ڕاوێژکار,ڕاوێژکار و,ڕاوێژیار	0	1	1
سازکردووە	ساز کردووە	ساز کردووە,سازکردنە	1	1	1
لێبگرێت	لێ بگرێت	detected_correct	0	0	0
ئاشکراشیدەکات	ئاشکراشی دەکات	ئاشکراکردنت	0	0	0
چاوەڕێدەکرێت	چاوەڕێ دەکرێت	چاوەڕوانکردنت	0	0	0
داگیرکردووە	داگیر کردووە	داگیر کردووە,داگیرکراوە,داگیرکردنە,داگیرکراو	1	1	1
لەفەرمانگەکان	لە فەرمانگەکان	فەرماندەرەکان,فەرماندانەکان,فەرمانبەرەکان,فەرماننامەکان	0	0	0
ئەمنیان	ئەمنییان	detected_correct	0	0	0
عیراقیشی	عێراقیشی	عێراقیشی,عیشقیشی	1	1	1
بنێرێ	بنێرێت	detected_correct	0	0	0
بەخانەنشینان	بە خانەنشینان	بەندیخانەن	0	0	0
جەختکرایەوە	جەخت کرایەوە	جەخت کرایەوە,بەختکرانەوەوە	1	1	1
ڕازیە	ڕازییە	detected_correct	0	0	0
فۆڕمانە	فۆرمانە	ڕۆڕمانە,ڕمانانە,ڕمانە	0	0	0
لوسی	لووسی	detected_correct	0	0	0
ئەنجومەنیش	ئەنجوومەنیش	ئەنجومەنێش,ئەنجومەنی,ئەنجومەنیشت,ئەنجومەنیشم,ئەنجومەنیشی,ئەنجومەنیت,ئەنجومەنین,ئەنجومەنیم,ئەنجومەنی ش,ئەنجومەن یش,ئەنجومەن	0	0	0
بڕیاڕیاندا	بڕیاریاندا	بڕیاریاندا,بڕیاردانیاندا,بڕیارنانیاندا,بڕیارداندا,دابڕینیاندا	1	1	1
سونەکان	سوننەکان	detected_correct	0	0	0
کونسڵی	کونسوڵی	کون سڵی,کوینسی	0	0	0
لەگەندەڵی	لە گەندەڵی	لەگەن دەڵی,لە گەندەڵی,گەندەڵی	0	1	1
نیستمانی	نیشتمانی	بیستمانی,نیشتمانی,نیست مانی,نیشتمانانی,ئیستمەنانی,ئانیستنانی,ئانیستنی	0	1	1
تێدانەبێت	تێدا نەبێت	تێدانە بێت,تێدا نەبێت,تێ دانەبێت,دانەقەتێت	0	1	1
سوربوون	سووربوون	سەربوون,سوابوون,بووربوون	0	0	0
گەریلاو	گەریلا و	گەری لاو,گەرماو	0	0	0
گەشتوگوزارو	گەشتوگوزار و	سەرگوزەشت	0	0	0
ئەجندای	ئەجێندای	detected_correct	0	0	0
بەدزی	بە دزی	detected_correct	0	0	0
بەزیادەوە	بە زیادەوە	بەزیایەوە,بەز یادەوە,بە زیادەوە,زیادەوە,بەگزادەوە,بەزاندەوە,دابەزینەوە	0	1	1
چڕدەکرێنەوە	چڕ دەکرێنەوە	چڕ دەکرێنەوە,وێنەکردنەوە	1	1	1
ڕاستیەکانی	ڕاستییەکانی	ڕاسییەکانی,ڕاستەکانی,ڕاستییەکانی,ڕاستییەکان,ڕاسترەکانی,ڕاستکارەکانی,ڕاستگۆیییەکانی,ڕاستگۆەکانی,ڕاستبێژییەکانی	0	1	1
شوفێرەکەی	شۆفێرەکەی	شێخەکوێرەکەی	0	0	0
ئاڵمانی	ئەڵمانی	detected_correct	0	0	0
ئامادەدەکرێن	ئامادە دەکرێن	ئامادە دەکرێن,ئامادەکردنێن,ئامادەکردنن,ئامادەکردن	1	1	1
ئەنجامیداون	ئەنجامی داون	ئەنجامیدا ون,ئەنجامی داون,ئەنجامدان	0	1	1
بەڕێوەچو	بەڕێوەچوو	بەڕێوەچوون,بەڕێوەبەر	0	0	0
پێبکە	پێ بکە	detected_correct	0	0	0
پێگەیشتبێت	پێ گەیشتبێت	detected_correct	0	0	0
خویندکاری	خوێندکاری	ئەوینداری	0	0	0
دووگیانەو	دووگیانە و	دانەوینەوە	0	0	0
سەربازییەو	سەربازییە و	سەربازییەوە,سەربازییەک,سەربازی یەو,سەربازی	0	0	0
لەدەرەنجامی	لە دەرەنجامی	سەرەنجامی	0	0	0
ناشرینترین	ناشیرینترین	ناشیرینترین,ناشریخێنین,ناشیرینیین,ناشیرینین,ناشیرینن	1	1	1
ئاشقی	عاشقی	ئاشی,ئاشتی,ئاشچی,ئەشقی	0	0	0
ئەمریکاییە	ئەمریکییە	ئەمریکایلە,ئەمریکای یە,ئەمەریکای,ئەمریکا,ئەمەریکا	0	0	0
بتڵ	بوتڵ	بیڵ,بتڵێ,بتب,بتش,بتس,بتڕ,بتچ,بتک,باڵ,بێڵ,بتێ,تڵف	0	0	0
پشێویان	پشێوییان	پاشێویان,پەشێویان,پاشێوین,پشوویان,پارشێویان,شێوانیان	0	0	0
تەکنەلۆژییەکان	تەکنۆلۆژییەکان	نەتەوایەتییەکان	0	0	0
دواخرابوو	دوا خرابوو	داخورابوو,دوورابوو	0	0	0
دەستپێشخەریەکی	دەستپێشخەرییەکی	دەستخورێنەیەکی	0	0	0
لەمێژینە	لە مێژینە	detected_correct	0	0	0
ناوخۆییانەی	ناوخۆیییانەی	ناوخۆی یانەی,ناوخۆییی,ناوخۆیی	0	0	0
نایەتەدی	نایەتە دی	دژمنایەتی	0	0	0
هێرشدەکەنە	هێرش دەکەنە	هێرش دەکەنە,هێرشبردنە	1	1	1
ئەنجامیبدەن	ئەنجامی بدەن	ئەنجامی بدەن,ئەنجامدانن	1	1	1
بونیاتنانی	بنیاتنانی	بنیاتنانی,بنیاتنانانی,بنیاتنان,بوختیانانی,بوختیانی	1	1	1
بەگوللەی	بە گوللەی	بە گوللەی,گوللەی	1	1	1
پڕۆژەیەکن	پرۆژەیەکن	بەڕۆژەکۆن	0	0	0
پێدەکەنن	پێ دەکەنن	detected_correct	0	0	0
جوڵاوە	جووڵاوە	خوڵاوە,جووڵاوە,جوڵیاوە,کوڵاوە,گوڵاوە,جوداوە,جۆڵاوە	0	1	1
جیابوومەوە	جیا بوومەوە	جیابوونەوە,یابوومەوە,جیابوونمەوە,شیابوومەوە,ڕیابوومەوە,جیا بوومەوە,جیبووتیمەوە	0	0	1
کاربکەیت	کار بکەیت	کاریتەیت,کاکەیت	0	0	0
لەبنەماڵەی	لە بنەماڵەی	لە بنەماڵەی,بنەماڵەی	1	1	1
ماساج	مەساج	ماسا,ماسار,ماسان,ماسام,ماساو,ماسای,ما ساج	0	0	0
محەویلەیەک	محاویلەیەک	وەویلەیەک,تەویلەیەک,مەولەوییەک,مەولەویەک	0	0	0
هەڵوەشێننەوە	هەڵبوەشێننەوە	detected_correct	0	0	0
وربینی	وردبینی	وردبینی,وەربینی,وێبینی,دووربینی,بیورینی,دووربین,بینینی	1	1	1
بگۆریت	بگۆڕیت	گۆریت,بۆریت,بگریت,گۆبریت,بگۆڕیت,بگۆزیت,بگاریت,بگیریت,ب گۆریت,گۆریۆیت,گۆبرییت	0	0	1
بنەتۆوی	بنەتۆی	detected_correct	0	0	0
بێتەئاراوە	بێتە ئاراوە	ئاربێلواوە	0	0	0
بەوبۆنەیەشەوە	بەو بۆنەیەشەوە	داوبۆنانەوەشەوە	0	0	0
خراوەنەتە	خراونەتە	تەنراوە	0	0	0
دادات	دەدات	detected_correct	0	0	0
دورودرێژە	دوورودرێژە	دەستدرێژە	0	0	0
دوومنداڵ	دوو منداڵ	دوو منداڵ,منداڵدان	1	1	1
ڕاگەیەند	ڕاگەیاند	ڕاگەیاند,ڕاگەناند,ڕاگەڕاند	1	1	1
ڕێکەوتننامەکە	ڕێککەوتننامەکە	ڕێکەوتن نامەکە,چاوپێکەوتنەکە	0	0	0
زهنیەتی	زیهنیەتی	زانیەتی,زینیەتی,هانیەیەتی	0	0	0
زیادیکردبوو	زیادی کردبوو	زیادی کردبوو,زیادکردنوو	1	1	1
سەیرانگاو	سەیرانگا و	سەیرانگا,سەیرانگاوە,سەیرانگاوو,سەیرانگات,سەیرانگان,سەیرانگام,سەیرانگاک,سەیرانگاگ,سەیرانگای,سەیرانگا و,سەیرانگەر,سەیرانگە	0	0	1
شارباژێری	شارباژێڕی	شار باژێری,باژێری,شاریێری	0	0	0
قەرەچووخ	قەرەچووغ	قەرەبوو	0	0	0
کادرانە	کادیرانە	کاردانە,داکرانە,لادرانە,کارانە,کادانە,کادانەر,کردرانە,ڕادرانە,کڕدرانە,قادرانە,چادرانە,نادرانە,دادرانە,کا درانە,کەندرانە	0	0	0
کەمکرابێتەوە	کەم کرابێتەوە	کەم کرابێتەوە,کەوێندرابێتەوە	1	1	1
لەپارکی	لە پارکی	لەپار کی,لە پارکی,پارکی	0	1	1
لەپێشنیازەکانی	لە پێشنیازەکانی	لەپێش نیازەکانی,لە پێشنیازەکانی,پێشنیازکردنەکانی	0	1	1
لەشارێکەوە	لە شارێکەوە	بەشارێکەوە,لەبارێکەوە,حەشارێکەوە,لەشکرێکەوە,لە شارێکەوە,لەکەدارێکەوە,شارەوانێکەوە	0	0	1
لەوڵاتێک	لە وڵاتێک	لە وڵاتێک,وڵاتێک	1	1	1
لەوەها	لە وەها	لەقەها,لەوەڕها,لەپەها,لەتەها,لەرەها,لەوەڕا,لەلەها,نەوەها,لەکەها,گەوەها,لاوەها,لە وەها,لەغاوەها,لەوەندها,لەولاوها	0	0	1
مشیر	موشیر	میشر,مشیت,شیر,میر,مشی,شیرم,مشیش,مشین,مگیر,مایر,مشار	0	0	0
موچانەیان	مووچانەیان	مو چانەیان,نووچانەوەیان,چاوانەیان,مووچاندیان,مووچاندنیان	0	0	0
مودەریس	مودەڕیس	detected_correct	0	0	0
ناسەقامگیریە	ناسەقامگیرییە	سەقامگیرە,سەقامگیر	0	0	0
نیشتیمانەکەمان	نیشتمانەکەمان	نیشتمانەکەمان,نیشتی مانەکەمان,ملەمانیشتنەکەمان,نیشانەکردنەکەمان,نیشانەگرتنەکەمان,نیشانشکاندنەکەمان	1	1	1
وادەخوازێت	وا دەخوازێت	ڕادەخوازێت,دادەخوازێت,وێدەخوازێت,وادە خوازێت,وا دەخوازێت,ئاواتەخوازت	0	0	1
وەرگێڕدراوەتە	وەرگێڕراوەتە	وەرگێڕانەوە	0	0	0
ئامادەکاریەکی	ئامادەکارییەکی	ئامادەکردنی,ئامۆژیارییەکی	0	0	0
ئەنشتاین	ئەنیشتاین	ئەمشتاین,ئەشتاین,ئەناشتاین,ئەناشتین,ئەتشتاین,ئەششتاین,ئەیشتاین,ئاینیشتاین	0	0	0
ئەوەدراوە	ئەوە دراوە	ئەوەراوە,ئەوە دراوە,ئەوەرێندراوە,ئەوەشێندراوە,ئەوەرێندرا,ئەسراواوە	0	1	1
بنەڕەتیەکان	بنەڕەتییەکان	بنەڕەتەکان,بنەڕەتەکانی,بنبەڕەقییەکان,تەڕەتیزەکان,نەگبەتییەکان,بیەڕەشانەکان	0	0	0
بێبەشدەبێت	بێبەش دەبێت	زەردەبێت	0	0	0
بەرنادەین	بەر نادەین	detected_correct	0	0	0
پێدەگرن	پێ دەگرن	detected_correct	0	0	0
پیشمەرگەش	پێشمەرگەش	پێشمەرگە	0	0	0
پەیوەندیدارو	پەیوەندیدار و	پەیوەندکردن	0	0	0
تاسەری	تا سەری	تاسەی,تاسەشی,تاسەچی,تایەری,تا سەری,سەرتاسەری,سەراسەری,سەرتاسەر,سەرتای	0	0	1
